"CODIGO","GIRO","NOMBRE","UBICACION","NUMERO","LETRA","INTERIOR","NOM_COMERCIAL"
"1","MUSEOS","FASHION CENTER S.A.","MLCN DE LA RESERVA","610","","210","SALA MUSEO ORO DEL PERU"
"2","MUSEOS","FUNDACION MUSEO AMANO","CALL RETIRO","156","","",""
"3","TEATROS","LOPEZ LOZANO JAIME","AV. JOSE A. LARCO","1036","","109",""
"4","TEATROS","SAMOHOD ROMERO DALMACIA","AV. JOSE A. LARCO","1150","","A",""
"5","PIANO BAR Y/O TEATRO BAR","JAZZ INC. S.A.C.","AV. LA PAZ","656","","B",""
"6","TEATROS","HACOWIN S.A.C.","AV. PETIT THOUARS","4550","","",""
"7","TEATROS","PRODUCCIONES ACQUARIO S.R.LTDA.","CALL GENERAL SUAREZ","409","","",""
"8","TEATROS","ASOCIACION CULTURAL DRAMA","MLCN DE LA RESERVA","610","","211",""
"9","REPRESENTACIONES OBRAS TEATRALES Y MUSICALES (TEATROS)","NADAL PARODI JEAN PIERRE","CALL MARTIR JOSE OLAYA","139","","112",""
"10","TEATROS","PRODUCTORA COLLEGE S.A.C.","PSJE PORTA","132","","",""
"11","PRODUCCION, DISTRIBUCION  DE PELICULAS CINEMATOGRAFICAS Y TV","INDIGO COMUNICACION DIGITAL S.A.C.","AV. GRAU","208","","301",""
"12","CINE","PENTARAMA S.A.","AV. JOSE PARDO","121","","",""
"13","PRODUCCION, DISTRIBUCION  DE PELICULAS CINEMATOGRAFICAS Y TV","CD-R VIDEO S.A.C.","AV. MCAL. OSCAR R. BENAVIDES","550","","202",""
"14","CINE","CINEPLEX S.A.","AV. SANTA CRUZ","816","","",""
"15","PRODUCCION, DISTRIBUCION  DE PELICULAS CINEMATOGRAFICAS Y TV","FAMA ESTUDIO S.A.","CALL FRANCIA","779","","",""
"16","PRODUCCION, DISTRIBUCION  DE PELICULAS CINEMATOGRAFICAS Y TV","PERUANA DE CABLE TELEVISION S.A","CALL GENERAL VARGAS MACHUCA","313","","",""
"17","CINE","UVK MULTICINES LARCO S.A.","MLCN DE LA RESERVA","610","","215",""
